,original,paraphrase,our_paraphrase
18,"Druga četrtina je v zgornjem cenovnem razredu in okleščena za popust, ki ga daje gostinec, sega nekaj čez 1100 tolarjev.","Drugo četrtletje je v zgornjem cenovnem razredu in prirejeno za popust, ki ga da gostinec, dosega nekaj več kot 1.100 tolarjev.","Druga četrtina je v zgornjem cenovnem razredu in okleščena za popust, ki ga daje gostinec"
19,Vse drugo je nekje vmes.,Vse ostalo pa je nekje vmes.,Vse ostalo je nekje vmes.
20,"Poleg razdeljevanja bonov ŠOU skrbi tudi za kakovost ponudbe in izpolnjevanje drugih pravil, povezanih s prehrano študentov.","ŠOU poleg distribucije bonov skrbi tudi za kakovost ponudbe in skladnost z ostalimi pravili, ki se nanašajo na prehrano študentov.","Poleg razdeljevanja bonov ŠOU skrbi tudi za kakovost ponudbe in izpolnjevanje drugih pravil, povezanih "
21,"S tem se ukvarjajo trije člani komisije za prehrano in štirje inšpektorji, ki ob vsakem obisku lokala napišejo zapisnik.","Z zadevo se ukvarjajo trije člani komisije za hrano in štirje inšpektorji, ki vsakokrat, ko obiščejo bar, napišejo poročilo.","S tem se ukvarjajo trije člani komisije za prehrano in štirje inšpektorji, ki ob vsakem obisku lokala napi"
22,"Usmerjajo jih govorice, pa tudi vsebina skrinjice za pohvale in pritožbe, ki visi v avli na Kersnikovi 4 v Ljubljani.","Pri tem jih vodijo govorice, pa tudi vsebina skrinjice za pohvale in pritožbe, ki visi v preddverju na Kersnikovi 4 v Ljubljani.","Usmerjajo jih govorice, pa tudi vsebina skrinjice za pohvale in pritožbe, ki visi"
23,Nauk: Guang Dong prva je čisto solidna kitajska restavracija.,"Prva med njimi je Guang Dong, trdna kitajska restavracija.",Nauk: Guang Dong je zelo solidna kitajska restavracija.
24,"Od svojih »kolegic« odstopa po bolj pazljivo pripravljenih jedeh in zanimivi možnosti, da vam pripravijo hrano tudi za domov.","Od svojih ""sodelavcev"" odstopa po bolj skrbno pripravljenih jedeh in zanimivi možnosti, da vam hrano pripravijo tudi doma.","Od svojih ""kolegic"" odstopa po bolj pazljivo pripravljenih jedeh in zanimivi možnosti,"
25,Cene za to storitev so nižje.,Cene za to storitev so nižje.,Cene za to storitev so nižje.
26,"Pri Vidicu so že skoraj tri leta in videti je, da so v Novem mestu našli svojo publiko.","Pri Vidicu so že skoraj tri leta in zdi se, da so svojo publiko našli v Novem mestu.","Vidicu so že skoraj tri leta in videti je, da so v Novem mestu našli svojo"
27,"Plačali smo 4100 tolarjev po osebi, od tega slabo polovico za dve buteljki.","Plačali smo 4100 tolarjev na osebo, od tega manj kot polovico za dve steklenici.","Plačali smo 4100 tolarjev po osebi, od tega slabo polovico za dve buteljki."
28,"Kučanovo slovo s predsedniškega mesta je pravzaprav prva občutila nekdanja direktorica Fructala Cvetana Rijavec, ki so ji »vzeli« njeno dete in ga dali v posvojitev Pivovarni Union, kjer pa so se krušni starši sila neposlušno vedli do predsednikovih gospodarskih svetovalcev, zato za kazen o Unionovi usodi odločajo v Laškem.","Pravzaprav je Kučanovo slovo od predsedniškega mesta najprej občutila nekdanja direktorica Fructala Cvetana Rijavec, ki je ""vzela"" svojega otroka in mu ga dala v posvojitev v Pivovarno Union, kjer so bili njeni rejniki do predsednikovih ekonomskih svetovalcev zelo neposlušni, zato se v Laškem odloča o kazni usode Uniona.",Kučanovo slovo s predsedniškega mesta je pravzaprav prva občutila nekdanja direktorica Fructala Cve
29,"Tudi Belgijci so hitro doumeli, da bo imelo Laško v prihodnje pivovarsko moč.","Belgijci so tudi hitro razumeli, da bo Laško v prihodnosti imel pivovarsko moč.","Belgijci so hitro doumeli, da bo Laško v prihodnje imelo pivovarsko moč."
30,"Pred nekaj leti je hotel v pokoj predsednik uprave Mure Božo Kuharič, toda na predsedniško prigovarjanje iz Ljubljane je ostal.","Pred nekaj leti se je predsednik upravnega odbora Mure Božo Kuharič upokojil, vendar je ostal pri predsedniškem prepričevanju iz Ljubljane.","Pred nekaj leti je bil predsednik uprave Mure Božo Kuharič, toda na predsedniško pri"
31,"Prekmurci so pomembnemu rojaku slepo verjeli, dejstvo pa je, da jim je povrnil bore malo.","Prekmurci so slepo verjeli pomembnemu sonarodnjaku, dejstvo pa je, da jim je v zameno dal malo.","Prekmurci so pomembnemu rojaku slepo verjeli, dejstvo pa je, da jim je vrnil"
32,"Da je v dneh, ko so bili uradno imenovani kandidati za predsednika države, dobil vabilo na odsluženje zaporne kazni na Dobu nekdanji direktor Hita Danilo Kovačič, je bil jasen znak, da ni več moči za zavlačevanje.","Da je v dneh, ko so bili uradno imenovani kandidati za predsednika, nekdanji direktor Hite Danilo Kovačič prejel vabilo za prestajanje zaporne kazni na Dobu, je bil jasen znak, da ni več moči za odlašanje.","Da je v dneh, ko so bili uradno imenovani kandidati za predsednika države, nekdanji direktor Hit"
33,"Na hitro je odstopila tudi predsednica uprave Zavarovalnice Triglav Nada Klemenčič, njen naslednik Milan Tomaževič pa je jutro po imenovanju z ženo odletel z brniškega letališča v neznano in se čez osem dni vrnil prek Frankfurta.","Na kratko je odstopila tudi predsednica uprave Zavarovalnice Triglav Nada Klemenčič, njen naslednik Milan Tomaževič pa je jutro po sestanku z ženo odletel z brniškega letališča v neznano in se osem dni kasneje vrnil prek Frankfurta.","Na hitro je odstopila tudi predsednica uprave Zavarovalnice Triglav Nada Klemenčič, njen naslednik Milan Tomaževič"
34,"Predsedniku uprave Mercatorja Zoranu Jankoviću se je začelo lomiti pri gradnji nakupovalnega centra v Beogradu, hudo ostro pritiskajo upniki, ki so gradili center v Novi Gorici, zato se že iščejo krediti za poplačilo.","Predsednik Mercatorjeve uprave, Zoran Janković, je začel razbijati pri gradnji trgovskega centra v Beogradu, upniki, ki so gradili center v Novi Gorici, pa so pod velikim pritiskom, zato že iščejo posojila za poplačilo dolga.",Predsedniku uprave Mercatorja Zoranu Jankoviću se je začelo lomiti pri gradnji nakupovalnega centr
35,"Kaže pa, da terjatve niso samo uradne, temveč tudi neuradne, kajti posebna ekipa varnostnikov družine Jankovič ne spusti z oči štiriindvajset ur na dan.","Vendar pa se zdi, da so trditve ne le uradne, ampak tudi neuradne, saj posebna ekipa varnostnikov družine Janković ne izpusti njihovih oči 24 ur na dan.","Kaže, da terjatve niso samo uradne, temveč tudi neuradne, saj posebna ekipa varnostnikov družine"
36,"Se bo predsednik Milan Kučan umaknil iz Ljubljane na tako priljubljeni Debeli rtič, kjer ima v oljčnem gaju že dolgo časa parcelico, ali pa bo za svoje sodelavce vsaj simbolično poskrbel tako, kakor je storil poljski predsednik Aleksander Kwašniewski (večkrat je že letoval ob naši obali), ki je v svojo palačo v Varšavi povabil generalnega sekretarja Kučanovega kabineta (in trenutno predsednika Lions kluba Forum iz Ljubljane) Marjana Šiftarja z ženo Amalijo, direktorico upravne enote Ljubljana.","Ali se bo predsednik Milan Kučan umaknil iz Ljubljane na priljubljenem Debelem rtiču, kjer ima že dalj časa parcelo v oljčnem nasadu, ali pa bo vsaj simbolično poskrbel za svoje kolege na enak način, kot je to storil poljski predsednik Aleksander Kwašniewski (več počitnic je preživel ob naši obali), ki je v svojo palačo povabil generalnega sekretarja Kučanovega kabineta (trenutno pa tudi predsednika Lions Club Foruma iz Ljubljane) Marjana Šiftarja in njegovo ženo Amalio, direktorico Upravne enote Ljubljana","Se bo predsednik Milan Kučan umaknil iz Ljubljane na tako priljubljen Debeli rtič, kjer im"
37,Veliki komandorski križ je poljski predsednik pripel na prsi Marjana Šiftarja kot priznanje za velik prispevek pri razvijanju slovensko-poljskega prijateljstva.,Veliki poveljniški križ je poljski predsednik pritrdil na prsni koš Marjana Šiftarja kot priznanje za njegov velik prispevek k razvoju slovensko-poljskega prijateljstva.,Veliki komandorski križ je poljski predsednik pripel na prsi Marjana Šiftarja kot priznanje
38,"Kwašniewski je leta 1995 po izredno dobro pripravljeni volilni kampanji premagal Lecha Walenso in nikdar ni pozabil zveste ekipe, ki mu je pomagala do predsedniškega naslova.","Kwašniewski je leta 1995 po izjemno dobro pripravljeni volilni kampanji premagal Lecha Walenso in ni pozabil zveste ekipe, ki mu je pomagala osvojiti predsedniški naslov.",Kwašniewski je leta 1995 po izredno dobro pripravljeni volilni kampanji premagal Lecha Wale
39,"Zato je ob podelitvi odlikovanja Šiftarju pripomnil (priča je bil tudi slovenski veleposlanik Zvone Dragan), da ga prava slava čaka šele doma.","Zato je na podelitvi Šiftarjeve nagrade pripomnil (pričeval je tudi veleposlanik Slovenije Zvone Dragan), da ga doma čaka prava slava.",Zato je ob podelitvi odlikovanja Šiftarju pripomnil (pričan je tudi slovenski veleposlanik
40,Ob teh besedah je odlikovanec le globoko zavzdihnil.,Te besede so planinca pustile z globokim vzdihljajem.,Ob teh besedah je odlikovanec le globoko zavzdihnil.
41,Podobno smo bili po parlamentarnih volitvah leta 1996 novinarji krivi za poraz Peršakovih demokratov.,Podobno so bili po parlamentarnih volitvah leta 1996 novinarji krivi za poraz Peršakovih demokratov.,Podobno smo bili po parlamentarnih volitvah leta 1996 novinarji krivi za poraz Peršakovih demokratov.
42,"S takšno obtožbo se je spravil na nas Matjaž Hribar, takrat še mož najbolj ugledne strankarske članice, nekdaj slavne televizijske novinarke Danice Simšič.","S takšno obtožbo je k nam prišel Matjaž Hribar, takrat mož najvidnejše članice stranke, nekdaj znane televizijske novinarke Danice Simšič.","S takšno obtožbo se je odzval Matjaž Hribar, takrat še mož najbolj ugledne strankarske članice"
43,"Danica je potem zamenjala stranko (zdaj ji je najbolj všeč Borut Pahor), odstavila moža in na letošnjih županskih volitvah v Ljubljani ji kar dobro kaže.","Danica je nato zamenjala stranko (zdaj ji je Borut Pahor najbolj všeč), odstavila moža in se dobro kaže tudi na letošnjih županskih volitvah v Ljubljani.","Danica je nato zamenjala stranko (zdaj ji je najbolj všeč Borut Pahor), odstavila moža in"
44,"Viktorije verjetno ne bo prehitela, zato pa bo njena ZLSD tako močno zastopana med mestnimi svetniki, da bo na podžupanskem mestu lahko zamenjala Antona Colariča, rahlo utrujenega Pahorjevega prvoborca.","Victoria verjetno ne bo prehitela, zato bo njen ZLSD tako močno zastopan med mestnimi svetniki, da bo lahko na mestu podžupana zamenjala Antona Colariča, nekoliko utrujenega Pahorjevega prvega borca.","Viktorija verjetno ne bo prehitela, zato bo njena ZLSD tako močna zastopana med mestni"
45,Sliši se kot kriminalka.,Sliši se kot kriminalec.,Sliši se kot kriminalka.
46,"Že, že, ampak ali niso nekatere lastnosti, znotraj zahtevanih pogojev izobrazbe, izkušenj ... delodajalcem ljubše?","Da, da, vendar niso nekatere lastnosti v okviru zahtevanih pogojev za izobraževanje, izkušnje... delodajalci raje?","Že, že, ampak ali so nekatere lastnosti, znotraj zahtevanih pogojev izobrazbe, izkušenj... delodajalcem"
47,"Ne, ne rišemo jih, imamo pa digitalno kamero, če naročnik prosi zanjo.","Ne, mi jih ne pripravi, vendar imamo digitalni fotoaparat, če naročnik prosi za to.","Ne, ne rišemo jih, imamo digitalno kamero, če naročnik prosi za njo."
48,"Evropsko smo konkurenčni in tehnološko primerljivi, morda smo celo bolje opremljeni.",smo konkurenčni in tehnološko primerljivi ter morda celo bolje opremljeni.,"Evropsko smo konkurenčni in tehnološko primerljivi, morda smo celo bolje opremljeni."
49,"V svoji podatkovni bazi imamo tudi fotografije ljudi, včasih naročnik želi film, ampak redko, to je bolj značilno za transatlantske raziskave ali (pri nas) za kakšnega naročnika, ki si rad izmišljuje.","Imamo tudi fotografije ljudi v naši bazi podatkov, včasih stranka želi film, vendar redko, to je bolj značilno za čezatlantske raziskave ali (v Sloveniji) za nekatere stranke, ki ima rad, da izumiti.","V svoji podatkovni bazi imamo tudi fotografije ljudi, včasih naročnik želi film, vendar redko, to je"
50,"Slike shranjujemo tudi zato, ker delamo dolgoročno, nekatere ljudi poznamo že dvanajst let, rekel bi, da sem sam naredil kakšnih 8000 intervjujev.","Slike shranjujemo tudi zato, ker delamo dolgoročno, nekateri ljudje so znani že dvanajst let, rekel bi, da sem naredil približno 8000 intervjujev.","Slike shranjujemo tudi zato, ker delamo dolgoročno, nekatere ljudi poznamo že dvanajst let, rekel bi"
51,"Včasih se mi zdi, da lahko človeka presodim že po tem, kako mi pokaže jezik.","Včasih se mi zdi, da človeka lahko sodim po tem, kako mi kaže njegov jezik.","Včasih se mi zdi, da lahko človeka presodim po tem, kako mi pokaže jezik."
52,"No, šalim se, toda resno vam povem, da sem nekega direktorja izbral samo po tistem, ko sem videl njegovo sliko, in še vedno je direktor pomembne tuje blagovne znamke v Sloveniji.","No, hecam se, ampak resno, povem vam, da sem režiserja izbral šele potem, ko sem videl njegovo fotografijo, on pa je še vedno direktor neke pomembne tuje blagovne znamke v Sloveniji.","No, šalim se, toda resno vam povem, da sem nekega direktorja izbral samo po tistem"
53,"No, pri bolezni so znaki verjetno bolj opazni kot pri »diagnozi uspešnosti«.","No, z boleznijo so znaki verjetno bolj opazni kot pri ""uspešnosti diagnoze"".","No, znaki so verjetno bolj opazni pri bolezni kot pri ""diagnozi uspešnosti""."
54,"To je osnova, etika je pogoj pri našem delu.","To je osnova, etika je pogoj za naše delo.","To je osnova, etika je pogoj za naše delo."
55,Sicer imaš težave zaradi varovanja podatkov in najboljši kandidati se ti ne oglašajo več.,V nasprotnem primeru imate težave z varnostjo podatkov in najboljši kandidati vam ne odgovarjajo več.,Sicer imaš težave zaradi varovanja podatkov in najboljši kandidati se ne oglašajo več.
56,"Lahko vam povem, da je ni pri nas.","lahko vam povem, da ni z nami.","Lahko vam povem, da ni v naši državi."
57,Je nekje ... v vesolju.,Nahaja se nekje v vesolju.,Je nekje v vesolju.
58,Ali uspešen človek še bere oglase v časopisih in se celo oglaša nanje?,Ali uspešna oseba še vedno bere oglase v časopisih in se celo odziva nanje?,Ali uspešen človek bere oglase v časopisih in se celo oglašuje nanje?
59,"»Ja, bolj klavrno je vse skupaj.","""Da, položaj je slabši.","""Ja, bolj klavrno je vse skupaj."
60,Zadnjič sem dve noči sestavljal prošnjo za kurirja.,Nazadnje sem dve noči pisal prošnjo za pošiljanje sporočil.,Zadnjič sem sestavil prošnjo za kurirja.
61,"Ko sem pismo že hotel odnesti na pošto, sem pa z grozo opazil, da sem tisti oglas obkrožil v starem časopisu in da sem rok za prijavo že zamudil.","Ko sem hotel pismo odnesti na pošto, sem z grozo opazil, da sem obkrožil ta oglas v nekem starem časopisu in da sem že zamudil rok za prijavo.","Ko sem pismo hotel poslati na pošto, sem z grozo opazil, da sem tisti oglas obkrožil"
62,Sploh pa so najbrž iskali kakšnega mlajšega človeka.«,"Poleg tega pa sta verjetno iskala mlajšega moškega. ""","Seveda pa so iskali tudi mlajšega človeka. """
63,"Poenostavljen odnos do tistih vin, ki niso ravno vsakodnevna ali običajna, je kriv, da nekaterim vinom ne gre najbolje.","Za to, da nekaterim vinom ne gre dobro, je krivo poenostavljeno stališče do tistih vin, ki niso vsakdanja ali običajna.","Poenostavljen odnos do tistih vin, ki niso vsakodnevna ali običajna, je kriv,"
64,"Poglejmo na primer arhivska, ki jim slovenski vinski zakon namenja posebno pozornost: to so vsa, starejša od treh let.","Razmislite denimo o arhivih, ki jim Zakon o vinih namenja posebno pozornost: to so vsi tisti, ki so starejši od treh let.","Poglejmo si arhivska gradiva, ki jim slovenski vinski zakon namenja posebno pozornost: to so v"
65,"Zakon še ne predvidi kaj bolj natančnega, na primer, koliko časa mora vino prebiti v steklenici ali sodu, niti da naj bi imelo po dolgoletnem staranju posebne značilnosti.","Zakon ne določa nič natančnejšega, na primer, koliko časa mora vino preživeti v steklenici ali sodu, niti da bi moralo imeti posebne značilnosti po letih staranja.","Zakon še ne predvideva kaj bolj natančnega, na primer, koliko časa mora vino prebiti v stekle"
66,"Arhivski stereotip je verjetno posledica preteklosti, saj se gotovo spomnite »pravila«, da je vsako starejše vino boljše.","Arhivski stereotip je verjetno posledica preteklosti, saj se morda spomnite ""pravila "", da je starejše vino boljše.","Arhivski stereotip je verjetno posledica preteklosti, saj se verjetno spomnite ""pravila "", da je"
67,"Še danes se marsikateri vinar rad pohvali, da njegova vina zdržijo težo let.","Še danes se mnogi vinarji pohvalijo, da njihova vina trajajo več let.","Še danes se marsikateri vinar rad pohvali, da njegova vina zdržijo težo let."
68,V tujini pa tega ne opisujejo s posebnim izrazom.,"v tujini, to ni opisano na poseben način.",V tujini tega ne opisujejo s posebnim izrazom.
69,Sama starost je opoteč podatek.,Sama starost je streznjujoča statistika.,Sama starost je opoteč podatek.
70,", dušikom ali inertnim plinom, ki vinu ne dela škode.",", dušik ali inertni plin, ki ne povzroča škode vinu.","ušikom ali inertnim plinom, ki vinu ne povzroča škode."
71,"Neki ormoški sauvignon 1986 se je fantastično ujel s prekajeno postrvjo in ne boste mi verjeli, če vam povem, da je bilo vino uradno - polsladko!","Nekateri Ormoc sauvignon 1986 je fantastično tekmo s prekajeno postrv, in ne boste mi verjeli, če vam povem, da je vino uradno - semisweet",Neki ormoški sauvignon 1986 se je fantastično ujel s prekajeno
72,"Prav take salti di gioia, kakor pravi Silvan, zmore le plemenita starina.","Prav takšne salti di gioia, kot pravi Silvan, se lahko naredi samo s plemenito starino.","Prav tako pa je salti di gioia, kot pravi Silvan, sposoben le plemeni"
73,"Čehi, recimo, imajo že v jeziku totalno mehak »flow« in verjetno na srečo nisem slišal nobenih njihovih raperjev, ker sem se že ob predstavi začel hahljati.","Čehi, recimo, že imajo popolnoma mehak pretok v svojem jeziku, in verjetno nisem slišal nobenih raperji, ker sem začel hihitati na razstavi.","Čehi, recimo, imajo v jeziku popolnoma mehak ""flow"" in verjetno na srečo"
74,Nakar me je prešinilo: Bosanci?,In potem me je zadelo Bošnjake?,Nakar me je prešinilo: Bosanci?
75,Medtem je debata krenila že v povsem drugo smer in tako sem vprašanje o obstoju bosanskih raperjev zadržal zase.,Medtem se je razprava premaknila v povsem drugo smer in vprašanje o obstoju bosanskih raperjev sem zadržal zase.,Medtem je debata krenila v povsem drugo smer in tako sem vprašanje o obstoju bosanskih r
76,Pozabil nanj.,Pozabil sem nanj.,Pozabil na njega.
77,Dobil tole ploščo.,Imam ta krožnik.,Dobil sem tole ploščo.
78,"odgovor Niste izdali, koliko denarja ste pripravljeni nameniti za to.","niste dali ven, koliko denarja ste pripravljeni porabiti za to.","Odgovor ni bil izdan, koliko denarja ste pripravljeni nameniti za to."
79,"Če vam ga ne manjka, vam ga bomo z veseljem pomagali porabiti.","Če vam ga primanjkuje, vam ga bomo z veseljem pomagali uporabiti.","Če vam ga ne manjka, vam ga bomo z veseljem porabili."
80,﻿Skupen pogled na zahodno civilizacijo - Italijanski premier dal nekaj lekcij iz kapitalizma in elitizma - Drnovšek se je sestal s predstavniki zamejskih Slovencev,- skupen pogled na zahodno civilizacijo - italijanski predsednik vlade podaja nekaj lekcij iz kapitalizma in elitizma - Drnovšek se je srečal s predstavniki Slovencev iz Slovenije,Skupen pogled na zahodno civilizacijo - Italijanski premier dal nekaj lekcij iz kapitalizma in eliti
81,"V Trstu so mimogrede razširili razlago, da so si vse skupaj izmislili novinarji.","Mimogrede, v Trstu se je razširila razlaga, da so celotno stvar izumili novinarji.","V Trstu so mimogrede razširili razlago, da so si vse izmislili novinarji."
82,"Vse - od začetka do konca, pogajanja, besedilo, ki je že bilo usklajeno, tudi hrvaško nepripravljenost, da bi podpisovali v Trstu, kjer bi demonstrirali ezuli in optanti.","Vse - od začetka do konca, pogajanja, besedilo, ki je že usklajen, tudi hrvaška nepripravljenost, da se prijavite v Trstu, kjer bi ezuli in optants dokazati.","Vse - od začetka do konca, pogajanja, besedilo, ki je bilo usklajeno, tudi hrvaško nepripravlje"
83,"Od vsega so ostali »resnični« samo pritiski tržaških ezulov, ki so bili na sprejemu v Rimu in so najmanj preložili, če ne celo izničili že dosežene dogovore.","Od vsega, kar je ostalo ""resnično "", so ostali pritiski tržaških ezulov, ki so bili na sprejemu v Rimu in so vsaj odložili, če ne celo izničili, že dosežene dogovore.","Od vsega so ostali ""resnični"" samo pritiski tržaških ezulov, ki so bili"
84,Kosovo očistili min,Kosovske prepovedane mine,Kosovo očistili min
85,"Za prestrukturiranje živilskopredelovalne industrije bo letos porabljenih 333 milijonov tolarjev, razdelilo pa si jih bo 26 prosilcev.","Za prestrukturiranje živilskopredelovalne industrije bo letos porabljenih 333 milijonov tolarjev, razdelilo pa si jih bo 26 prijaviteljev.","Za prestrukturiranje živilskopredelovalne industrije bo letos porabljenih 333 milijonov tolarjev, razdelje"
86,Prek agencije za kmetijske trge in razvoj podeželja država izplačuje tudi izvozne spodbude v okviru ukrepov za stabilizacijo trga s kmetijskimi pridelki.,Izvozne spodbude se izplačujejo tudi prek Agencije za kmetijske trge in razvoj podeželja kot del ukrepov za stabilizacijo kmetijskega trga.,Država zagotavlja tudi izvozne spodbude v okviru ukrepov za stabilizacijo trga s kmetijskimi pridelki.
87,"Zanje bo letos porabljenih 6,8 milijarde tolarjev; doslej so jih porabili že 6,5 milijarde.","zanje bodo letos porabili 6,8 milijarde tolarjev; doslej so jih porabili že 6,5 milijarde.","Letos bo za to porabljenih 6,8 milijarde tolarjev; doslej so jih porabili 6,5 milijarde."
88,"Nekaj manj kot polovica vsega denarja je bila izplačanega za spodbude pri izvozu mesa in mesnih izdelkov, dobrih 30 odstotkov denarja pa so dobile mlekarne za pomoč pri izvozu mleka in mlečnih izdelkov.","Malo manj kot polovico vsega denarja so plačali za spodbude za izvoz mesa in mesnih izdelkov, dobrih 30 odstotkov pa so namenili mlekarnam, da bi pomagale izvažati mleko in mlečne izdelke.",Nekaj manj kot polovica vsega denarja je bila izplačana za spodbude pri izvozu mesa in mesnih izdelkov
89,"Trst - Čeprav je promet na tržaškem kontejnerskem terminalu za tri odstotke manjši kot v enakem obdobju lani, so v vodstvu Ticta (Trieste International Container Terminal) prepričani, da bodo letos dosegli najmanj lansko raven prometa.","Trst - Čeprav je promet na tržaškem kontejnerskem terminalu za tri odstotke manjši kot v enakem obdobju lani, so v vodstvu Tržaškega mednarodnega kontejnerskega terminala (Trieste International Container Terminal) prepričani, da bodo letos dosegli vsaj lanski nivo prometa.",Trst - Čeprav je promet na tržaškem kontejnerskem terminalu za tri odstotke manjši kot v enakem
90,"Oktobra so namreč pretovorili 17.128 zabojnikov in za 15 odstotkov presegli promet v lanskem oktobru, sicer pa so v desetih mesecih letos na terminalu v Trstu pretovorili 163.633 TEU, lani v enakem obdobju pa 168.297.","Oktobra so pretovorili 17.128 kontejnerjev in promet oktobra lani presegli za 15%, v desetih mesecih letošnjega leta pa so na tržaškem terminalu pretovorili 163.633 TEU, v enakem obdobju lani pa 168.297 TEU.",Oktobra so pretovorili 17.128 zabojnikov in za 15 odstotkov presegli promet v lanskem
